"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"60907";"NOVELDA-ASPE";"38.4070860";"-0.7777440";"C/ Rafael Altamira, S/N";"03660";"NOVELDA";"ALICANTE/ALACANT";"ESPAÑA";"NO";"NO";""
"60911";"ALICANTE/ALACANT-TERMINAL";"38.3447127";"-0.4955241";"Avda. Salamanca, 1";"03005";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"60913";"SANT VICENT CENTRE";"38.3946533";"-0.5287247";"Vial del Terraplen, S/N";"03690";"SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"60914";"UNIVERSIDAD DE ALICANTE";"38.3841650";"-0.5284110";"Ctra. San Vicente Raspeig S/Nº";"03690";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"61005";"HELLÍN";"38.5087760";"-1.6884370";"Paseo Yutera del Carmen, S/N";"02400";"HELLÍN";"ALBACETE";"ESPAÑA";"NO";"NO";""
"61012";"CIEZA";"38.2466090";"-1.4217020";"C/ Estación Ferrocarril, 34";"30530";"CIEZA";"MURCIA";"ESPAÑA";"NO";"NO";""
"61015";"ARCHENA-FORTUNA";"38.1313200";"-1.2360370";"C/ Estación Ferrocarril, S/N";"30627";"MOLINA DE SEGURA";"MURCIA";"ESPAÑA";"NO";"NO";""
"61200";"MURCIA DEL CARMEN";"37.9748243";"-1.1315080";"Pza. de la Industria, S/N";"30002";"MURCIA";"MURCIA";"ESPAÑA";"SI";"NO";""
"61303";"BALSICAS-MAR MENOR";"37.8188400";"-0.9508910";"C/ Mar Menor, S/N";"30591";"TORRE-PACHECO";"MURCIA";"ESPAÑA";"SI";"NO";""
"61304";"TORRE-PACHECO";"37.7469050";"-0.9670780";"Avda. Estación Ferrocarril, S/N";"30700";"TORRE-PACHECO";"MURCIA";"ESPAÑA";"SI";"NO";""
"61307";"CARTAGENA";"37.6049670";"-0.9751220";"Pla. de Mejico, 2";"30203";"CARTAGENA";"MURCIA";"ESPAÑA";"NO";"NO";""
"62001";"BENIEL";"38.0448608";"-0.9994759";"Camino de la Estación 15, Beniel (Murcia)";"30130";"BENIEL";"MURCIA";"ESPAÑA";"SI";"NO";""
"62002";"ORIHUELA-MIGUEL HERNÁNDEZ";"38.0779321";"-0.9446060";"Avda Teodomiro, 68";"03300";"ORIHUELA";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62003";"CALLOSA DE SEGURA";"38.1227686";"-0.8745747";"Paseo Estación del Ferrocarril, S/N";"03360";"CALLOSA DE SEGURA";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62100";"SAN ISIDRO-ALBATERA-CATRAL";"38.1670209";"-0.8380854";"Camino de la Estación, 16";"03349";"SAN ISIDRO";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62101";"CREVILLENTE";"38.2245622";"-0.7815283";"Barrio Estación, S/N";"03330";"CREVILLENT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62102";"ELCHE/ELX-CARRÚS";"38.2689783";"-0.7063992";"Avda. de la Libertad, S/N";"03201";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
